Count Count Count Count Count Count Count Count Count Count Count
3708 2016 1165 714 621 469 610 385 434 407 146
6327 3459 2109 1342 1065 828 1051 722 856 703 276
2148 1169 761 453 358 262 373 258 259 248 83
1208 628 359 227 197 152 173 122 140 118 67
4890 2623 1530 912 794 609 739 507 565 541 234
1334 755 431 285 240 173 218 161 149 167 78
1717 965 567 303 276 226 266 170 162 190 62
4678 2333 1458 903 747 560 756 454 556 479 241
1096 587 348 230 182 152 156 140 149 110 37
1877 1036 621 358 330 251 287 186 246 184 91
11851 6397 3570 2281 1883 1431 1834 1233 1404 1288 446
2368 1306 762 433 395 289 415 263 303 273 99
3634 1962 1184 691 577 431 560 380 440 381 157
2792 1561 888 543 471 351 405 290 339 309 129
11361 5915 3493 2214 1817 1348 1848 1345 1324 1278 492
4300 2286 1319 755 690 511 675 471 494 442 160
1627 862 483 340 304 215 254 156 197 175 73
7914 4387 2765 1742 1456 1112 1390 1072 1199 1164 417
743 383 236 139 164 95 137 76 86 95 49
571 235 168 117 95 57 84 49 69 51 39
18780 9562 5250 3229 2675 1993 2648 1726 1979 1812 558
2209 1149 656 415 371 276 342 244 255 235 84
2929 1547 907 614 426 394 458 296 350 316 123
8008 4442 2640 1660 1446 1063 1436 979 1077 1005 404
8339 4626 2740 1791 1493 1078 1501 1012 1155 1116 414
4630 2494 1433 916 762 576 693 540 529 459 168
3778 1995 1223 684 653 448 595 415 486 395 129
7060 3825 2329 1492 1233 971 1247 830 988 902 312
1771 932 544 309 285 216 293 153 216 198 67
1839 986 580 333 280 210 274 165 222 196 58
9035 4874 2854 1750 1479 1114 1540 1078 1196 1002 392
2634 1392 820 516 417 332 406 266 329 300 81
1955 986 577 373 334 258 301 205 231 207 85
2293 1280 679 430 378 268 345 249 262 232 95
13883 7586 4363 2783 2329 1752 2221 1612 1683 1491 552
1388 779 425 276 214 155 206 176 187 184 80
2666 1452 769 516 464 325 402 276 336 258 97
4281 2336 1310 883 726 544 688 441 567 443 211
869 474 253 149 139 88 143 102 95 103 43
2801 1442 888 538 435 393 444 287 347 297 105
12886 6902 4063 2595 2125 1555 2110 1365 1520 1439 486
2183 1117 681 427 376 262 363 220 280 222 91
2273 1269 713 404 358 288 352 250 266 223 99
4442 2388 1416 850 677 548 737 504 580 472 213
1073 566 382 203 180 138 168 119 125 113 53
1824 965 520 283 252 170 259 169 155 151 57
4541 2384 1438 920 744 554 774 476 515 495 249
1304 661 404 247 213 149 207 135 177 129 49
1973 1109 609 370 321 245 298 212 240 214 65
6478 3343 1947 1289 1088 768 1037 667 788 640 331
1391 781 466 276 219 185 198 159 156 172 67
2576 1302 794 432 385 283 398 283 292 254 84
1929 1041 628 369 325 238 308 229 230 211 90
7524 3948 2419 1420 1185 936 1156 822 918 772 293
2323 1242 718 420 365 268 356 241 256 245 74
2345 1216 738 446 374 288 371 243 278 221 88
7104 3874 2344 1459 1306 966 1269 857 1002 931 349
627 311 207 126 94 73 105 54 69 70 26
638 315 194 133 97 66 118 64 74 54 22
16269 7828 4589 2756 2329 1752 2248 1521 1658 1411 565
11699 5776 3341 2038 1685 1263 1703 1065 1291 1105 354
553 297 187 122 83 65 101 71 67 75 31
554 299 199 93 96 70 71 60 58 61 29
13229 6618 3727 2314 1953 1405 1938 1257 1414 1287 456
371 213 114 76 61 46 48 40 42 36 29
1005 501 276 180 155 96 146 102 93 116 35
842 480 255 131 136 90 124 89 102 89 42
4109 2205 1285 816 703 500 627 465 525 501 214
860 455 250 169 127 118 138 84 104 86 33
1169 648 382 210 181 145 197 132 133 117 59
3299 1712 990 661 479 346 463 307 343 318 142
1178 692 373 240 208 116 198 130 151 133 45
1424 727 430 306 201 175 205 161 167 144 59
3666 1859 1115 700 592 447 549 395 430 353 220
1094 633 364 224 177 145 174 135 142 137 50
594 321 164 107 88 71 93 67 66 38 33
2555 1344 804 470 397 306 372 267 286 265 106
1131 622 367 259 179 141 189 125 143 115 50
3105 1677 965 558 513 363 477 313 363 342 115
1429 730 430 276 204 129 212 116 167 124 65
6183 3306 1968 1248 1021 806 1014 738 814 759 261
2859 1385 916 584 424 299 416 285 330 298 92
1530 791 481 315 232 176 241 161 179 168 67
6795 3792 2265 1343 1098 876 1148 797 842 830 296
9169 5237 3377 2161 1934 1404 1999 1423 1631 1606 541
2239 1264 672 449 357 248 325 238 248 256 87
2534 1234 831 463 398 305 381 248 324 265 93
838 421 254 177 135 102 120 86 82 91 31
4276 2417 1430 843 755 540 667 466 477 499 187
682 357 183 113 101 68 82 64 58 69 35
1591 858 528 295 257 190 237 185 183 184 67
5376 2850 1736 1081 880 677 839 617 695 546 242
2079 1102 683 400 337 261 327 237 247 235 74
2341 1346 776 479 398 267 375 270 297 242 96
2436 1319 779 443 433 269 362 288 311 254 101
7264 3898 2366 1463 1262 884 1287 811 972 845 340
