Context	X1mer	Count	Rate	context_in_genome	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
AAA->C	A->C	71950	1.65385678823478e-09	87271167	5294	6236	5095	6421	5526	5097	4111	4069	3558	3438	3398	3186	3531	2184	1458	1812	1311	2317	948	1417	1016	527
AAA->G	A->G	124223	2.8554142015968e-09	87271167	9378	11060	8592	10675	9363	8911	7033	6957	5988	5965	5996	5528	5954	3894	2655	2983	2496	4105	1475	2604	1693	918
AAA->T	A->T	43266	9.94520747738237e-10	87271167	3227	3757	2953	4041	3291	3023	2468	2525	2105	2088	2135	1931	2149	1280	827	1029	798	1388	562	767	615	307
AAC->C	A->C	23953	1.46933066135008e-09	32702297	1798	2154	1608	2050	1708	1679	1369	1332	1191	1196	1165	1040	1150	767	509	601	495	764	314	517	326	220
AAC->G	A->G	91706	5.62545141025217e-09	32702297	7225	7846	6130	8143	6783	6630	5130	5153	4381	4439	4426	4061	4522	2782	1857	2178	1769	3063	1041	2085	1337	725
AAC->T	A->T	24436	1.49895896300048e-09	32702297	1806	2111	1689	2283	1885	1736	1369	1450	1159	1206	1174	1081	1181	753	460	634	445	773	257	485	325	174
AAG->C	A->C	32240	1.44393436967138e-09	44790454	2449	2886	2210	2854	2454	2343	1733	1844	1532	1545	1585	1395	1495	981	683	833	602	1040	378	685	437	276
AAG->G	A->G	89268	3.99805004068934e-09	44790454	6989	7969	6128	7635	6651	6260	4919	4941	4281	4320	4343	3804	4232	2731	1930	2312	1854	2824	1157	1997	1236	755
AAG->T	A->T	21653	9.69773911491759e-10	44790454	1686	1881	1458	1932	1552	1532	1173	1257	1035	1070	1103	961	1077	675	451	517	410	701	246	423	336	177
AAT->C	A->C	36953	1.28198080296642e-09	57823725	2856	3274	2508	3526	2745	2641	2067	2141	1811	1757	1773	1589	1894	1088	707	766	651	1192	409	747	551	260
AAT->G	A->G	223035	7.73757444293061e-09	57823725	16492	20138	15645	19545	17129	15812	12650	12622	11337	10529	10776	9540	11058	6995	4547	5199	4036	7417	2252	4665	3063	1588
AAT->T	A->T	44468	1.54269267302548e-09	57823725	3243	3878	3153	4215	3531	3135	2515	2643	2070	2018	2114	1983	2279	1304	850	1048	765	1418	465	883	674	284
ACA->A	C->A	65565	2.89796446756966e-09	45385476	4856	5784	4438	5993	4892	4617	3734	3892	3217	3114	3377	2797	3156	1991	1283	1597	1173	2091	771	1352	928	512
ACA->G	C->G	53335	2.35740005914478e-09	45385476	3780	4739	3578	4265	3862	3594	3061	3418	3048	2502	2602	2264	2377	1589	1161	1725	1039	1665	718	1145	715	488
ACA->T	C->T	214890	9.49811003486682e-09	45385476	16600	18971	14396	18356	15986	15078	12018	12179	10282	10592	10472	9509	10315	6561	4503	5420	4222	7114	2604	4849	2951	1912
ACC->A	C->A	72168	5.73053393682717e-09	25263148	5547	6304	4840	5992	5119	5118	3987	4196	3359	3616	3624	3181	3115	2129	1544	2040	1472	2299	1167	1781	998	740
ACC->G	C->G	31155	2.47387740829523e-09	25263148	2312	2707	2024	2339	2117	2012	1830	2013	1788	1548	1530	1300	1211	930	750	1170	676	869	522	762	399	346
ACC->T	C->T	127253	1.01045842348834e-08	25263148	10345	10984	8193	10074	8849	8844	7018	7207	5856	6627	6137	5726	5582	4013	2801	3635	2979	3933	2006	3353	1657	1434
ACG->A	C->A	15863	6.22750189119404e-09	5109864	1219	1329	919	1289	965	1053	941	971	740	863	762	682	721	478	314	560	385	532	291	431	228	190
ACG->G	C->G	11149	4.37687818098231e-09	5109864	905	926	640	865	671	753	648	621	591	573	565	482	474	365	261	393	260	358	237	262	149	150
ACG->T	C->T	313789	1.2318739147298e-07	5109864	24829	27786	19197	23911	21433	21121	17877	17594	14265	16967	14895	14019	13797	9709	6737	9072	7733	10574	5312	8548	4392	4021
ACT->A	C->A	39644	2.22842618848258e-09	35687580	2927	3465	2724	3611	3016	2639	2240	2309	1998	1871	2034	1736	1814	1167	909	1015	740	1266	454	834	558	317
ACT->G	C->G	53893	3.02937575864927e-09	35687580	3785	4849	3554	4412	3968	3523	3174	3530	3283	2556	2543	2264	2345	1617	1303	1829	946	1531	680	1023	717	461
ACT->T	C->T	148193	8.3300666469024e-09	35687580	11822	12898	9989	12963	10920	10331	8191	8387	6942	7254	7402	6575	7153	4582	2969	3577	2917	4881	1899	3297	2039	1205
TCT->T	C->T	135528	5.44370088261098e-09	49942774	10850	11599	9073	11562	9925	9728	7525	7641	6417	6843	6690	6010	6387	4050	2727	3495	2722	4351	1721	3115	1900	1197
