Context	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	One_mer
AAA->C	3155	3647	2938	3505	3169	2881	2459	2410	2385	2019	1998	1806	1941	1368	944	1156	931	1272	713	906	632	414	3393	A->C
AAA->G	5432	5862	4547	5712	5076	4766	4062	3869	3561	3309	3246	3175	3127	2190	1581	1830	1578	2114	1157	1511	1020	670	5237	A->G
AAA->T	2105	2365	1901	2534	2083	1850	1681	1625	1479	1301	1304	1234	1387	833	595	684	576	918	476	601	472	275	2336	A->T
AAC->C	1089	1201	914	1130	996	883	821	763	758	665	693	633	652	490	333	368	294	428	220	319	242	143	1186	A->C
AAC->G	3398	3645	2934	3724	3194	2957	2455	2457	2190	2008	2082	1885	2075	1338	958	1022	841	1341	527	991	713	438	3705	A->G
AAC->T	879	1010	839	1081	947	848	705	706	612	561	580	511	566	405	263	305	231	363	140	280	189	116	1096	A->T
AAG->C	1190	1306	966	1329	1142	1043	838	925	785	731	684	638	661	446	336	449	277	472	180	333	221	160	1216	A->C
AAG->G	3646	4076	3150	3834	3410	3027	2644	2654	2408	2254	2181	2054	2034	1446	1041	1292	1067	1438	723	1171	719	479	3654	A->G
AAG->T	941	956	755	1013	843	779	640	651	596	568	545	511	562	344	247	314	200	342	125	243	195	116	1033	A->T
AAT->C	1364	1605	1196	1638	1354	1239	1001	1076	1005	862	889	786	875	532	394	395	325	579	224	359	264	172	1437	A->C
AAT->G	7743	9116	7265	8792	8051	6951	5899	6033	5608	4704	4893	4460	5056	3285	2294	2540	1859	3270	1119	2151	1537	875	7918	A->G
AAT->T	1931	2193	1784	2336	2001	1661	1533	1512	1330	1233	1202	1168	1256	780	514	618	488	840	355	521	432	219	2434	A->T
ACA->A	2885	3277	2565	3278	2755	2573	2109	2231	1956	1716	1899	1633	1749	1160	808	980	767	1109	556	804	663	386	3484	C->A
